game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401442004,2022,1,postseason,away,2199,Eastern Michigan,Mid-American,23,San José State,Mountain West,18-30,0,22,2-2,1,0,0,32,1,0,38,3,7,298,3,3,2,32:07,0,0,0,0,41,3,119,2,2,2,6-14,2,2-30,417,2,9.9,2.9
401442004,2022,1,postseason,home,23,San José State,Mountain West,2199,Eastern Michigan,Mid-American,26-46,0,25,1-3,0,1,0,0,3,0,24,1,3,366,0,0,3,26:55,0,0,0,0,25,1,132,3,3,3,6-14,0,6-55,498,3,8.0,5.3
401442005,2022,1,postseason,away,275,Wisconsin,Big Ten,197,Oklahoma State,Big 12,16-26,0,21,2-2,1,0,0,21,1,0,127,4,6,116,2,2,1,37:48,0,27,2,0,47,2,258,1,1,1,4-14,1,2-20,374,2,4.5,5.5
401442005,2022,1,postseason,home,197,Oklahoma State,Big 12,275,Wisconsin,Big Ten,14-31,0,10,1-1,0,1,0,16,2,0,29,2,5,229,1,1,2,22:02,0,0,0,0,26,0,52,2,2,2,3-14,0,3-35,281,2,7.4,2.0
401442006,2022,1,postseason,away,2335,Liberty,FBS Independents,2649,Toledo,Mid-American,13-21,0,12,0-0,1,1,0,0,0,0,69,4,1,151,0,0,2,19:56,0,1,1,0,20,1,102,0,0,0,2-8,0,5-40,253,1,7.2,5.1
401442006,2022,1,postseason,home,2649,Toledo,Mid-American,2335,Liberty,FBS Independents,18-28,0,27,0-1,1,1,0,0,0,0,1,1,7,183,0,0,1,39:02,0,28,3,0,55,1,177,0,0,0,10-17,0,5-55,360,1,6.5,3.2
401442007,2022,1,postseason,away,154,Wake Forest,ACC,142,Missouri,SEC,23-37,0,21,0-0,0,1,0,0,1,0,0,0,3,280,0,0,3,26:49,0,0,0,0,32,1,103,0,0,0,7-15,0,6-58,383,1,7.6,3.2
401442007,2022,1,postseason,home,142,Missouri,SEC,154,Wake Forest,ACC,28-47,0,22,1-4,1,0,0,0,0,0,52,2,5,227,0,1,1,32:11,0,0,1,0,34,1,128,0,0,0,9-19,0,9-85,355,1,4.8,3.8
401442008,2022,1,postseason,away,2116,UCF,American Athletic,150,Duke,ACC,22-35,0,21,2-4,1,0,0,0,1,0,41,3,1,198,0,0,0,25:33,0,0,0,0,36,2,128,0,0,0,5-14,3,3-27,326,2,5.7,3.6
401442008,2022,1,postseason,home,150,Duke,ACC,2116,UCF,American Athletic,19-29,0,22,0-0,0,1,0,0,0,0,22,1,12,173,1,1,0,34:27,0,0,0,0,40,3,177,6,6,6,7-14,0,1-5,350,0,6.0,4.4
401442009,2022,1,postseason,away,2393,Middle Tennessee,Conference USA,21,San Diego State,Mountain West,26-43,0,14,1-2,0,1,0,14,1,0,0,0,13,236,3,3,2,26:44,0,48,3,0,28,0,-57,2,2,2,3-17,1,5-50,179,1,5.5,-2.0
401442009,2022,1,postseason,home,21,San Diego State,Mountain West,2393,Middle Tennessee,Conference USA,18-42,0,14,2-3,1,0,0,0,3,0,101,5,11,297,1,1,2,32:08,0,3,1,0,32,0,55,7,6,7,4-16,1,9-90,352,4,7.1,1.7
