game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401264082,2020,14,regular,home,2655,Tulane,American Athletic,235,Memphis,American Athletic,21-34,0,26,3-3,0,0,0,3,1,0,43,2,5,254,6,2,2,34:04,0,15,2,0,45,3,165,3,47,8,2-10,0,9-84,419,1,7.5,3.7
401264083,2020,14,regular,away,202,Tulsa,American Athletic,2426,Navy,American Athletic,10-25,0,15,1-2,1,1,0,0,0,0,16,1,13,168,1,0,1,27:40,0,7,1,3,43,0,128,4,45,10,6-17,0,6-60,296,1,6.7,3.0
401264083,2020,14,regular,home,2426,Navy,American Athletic,202,Tulsa,American Athletic,4-11,0,13,1-2,1,1,0,0,0,0,115,5,6,27,2,0,0,32:20,0,-2,2,6,53,0,126,0,32,3,6-17,0,6-46,153,1,2.5,2.4
401264084,2020,15,regular,away,248,Houston,American Athletic,235,Memphis,American Athletic,30-49,0,26,5-5,1,0,0,22,1,0,92,4,9,270,3,1,2,33:29,0,14,1,0,35,1,139,2,40,10,5-16,0,7-75,409,2,5.5,4.0
401264084,2020,15,regular,home,235,Memphis,American Athletic,248,Houston,American Athletic,22-35,1,20,1-1,0,1,0,0,1,0,8,1,12,246,3,1,2,26:31,0,0,1,2,30,0,64,1,56,6,7-15,0,0-0,310,1,7.0,2.1
401264085,2020,16,regular,away,202,Tulsa,American Athletic,2132,Cincinnati,American Athletic,13-30,0,22,0-0,0,2,0,0,2,0,19,1,6,166,2,0,1,26:01,0,8,1,1,37,2,166,2,47,5,6-13,0,7-50,332,2,5.5,4.5
401264085,2020,16,regular,home,2132,Cincinnati,American Athletic,202,Tulsa,American Athletic,19-29,0,17,0-1,2,0,0,0,0,0,143,5,9,269,3,2,1,33:59,0,30,2,6,38,2,151,3,33,5,5-14,0,12-66,420,2,9.3,4.0
401265458,2020,13,regular,away,254,Utah,Pac-12,264,Washington,Pac-12,16-23,0,19,1-2,2,0,0,119,2,0,0,0,3,144,4,3,1,34:24,0,4,1,0,42,2,215,0,32,1,6-14,0,2-25,359,4,6.3,5.1
401265458,2020,13,regular,home,264,Washington,Pac-12,254,Utah,Pac-12,23-38,0,20,1-2,0,2,0,24,3,0,48,2,6,272,0,2,2,25:36,0,0,0,0,26,1,88,3,37,6,4-13,0,6-51,360,3,7.2,3.4
401265699,2020,16,regular,away,2005,Air Force,Mountain West,349,Army,FBS Independents,6-14,0,11,0-0,0,1,0,0,3,0,0,0,0,107,0,0,1,22:34,0,0,0,0,26,0,154,0,27,2,4-8,0,3-15,261,3,7.6,5.9
401265699,2020,16,regular,home,349,Army,FBS Independents,2005,Air Force,Mountain West,1-2,0,21,2-3,1,0,0,0,0,0,0,0,0,0,2,1,0,37:26,0,0,0,0,71,1,290,0,18,1,9-17,0,2-15,290,1,0.0,4.1
401265703,2020,14,regular,away,2348,Louisiana Tech,Conference USA,249,North Texas,Conference USA,19-31,0,24,3-3,0,0,0,6,1,0,117,6,6,158,2,1,2,36:19,0,0,0,2,50,4,183,4,42,7,8-17,0,4-33,341,1,5.1,3.7
401265703,2020,14,regular,home,249,North Texas,Conference USA,2348,Louisiana Tech,Conference USA,17-30,0,19,1-4,0,0,0,19,1,0,128,6,7,231,2,1,3,23:41,0,0,1,2,41,1,155,2,47,7,6-14,0,11-82,386,1,7.7,3.8
401265734,2020,13,regular,away,21,San Diego State,Mountain West,38,Colorado,Pac-12,11-28,1,10,0-1,0,0,1,57,1,0,22,1,4,76,4,1,0,22:32,0,18,2,5,31,0,79,2,55,10,4-17,0,7-64,155,1,2.7,2.5
401265734,2020,13,regular,home,38,Colorado,Pac-12,21,San Diego State,Mountain West,17-29,0,19,1-1,0,0,0,6,1,0,16,1,8,138,4,1,1,37:28,0,20,3,3,53,1,134,4,36,11,7-19,0,3-40,272,1,4.8,2.5
401265817,2020,14,regular,away,333,Alabama,SEC,99,LSU,SEC,20-29,0,32,1-1,1,1,0,0,0,0,0,0,13,385,5,0,4,32:52,0,0,0,2,43,3,265,5,32,7,4-9,0,4-43,650,1,13.3,6.2
401265817,2020,14,regular,home,99,LSU,SEC,333,Alabama,SEC,25-45,0,21,1-3,1,1,0,0,0,0,54,4,5,253,3,0,1,26:43,0,0,0,0,27,1,98,1,32,3,5-16,0,4-30,351,1,5.6,3.6
401265818,2020,14,regular,away,8,Arkansas,SEC,142,Missouri,SEC,18-34,0,34,3-3,0,0,0,0,0,0,7,1,4,274,4,0,3,26:28,0,0,1,1,50,4,292,1,50,5,6-14,0,11-95,566,0,8.1,5.8
401265818,2020,14,regular,home,142,Missouri,SEC,8,Arkansas,SEC,32-49,0,37,0-0,0,0,0,0,0,0,32,2,20,380,4,0,0,33:32,0,0,0,1,38,5,273,1,38,1,9-15,0,8-57,653,0,7.8,7.2
401266134,2020,14,regular,away,2390,Miami,ACC,150,Duke,ACC,17-26,0,24,1-1,1,4,0,-3,0,0,0,0,12,304,1,1,3,24:06,0,13,3,1,42,3,220,3,43,13,4-10,0,3-45,524,1,11.7,5.2
401266134,2020,14,regular,home,150,Duke,ACC,2390,Miami,ACC,25-31,0,14,1-2,4,1,0,0,1,0,68,3,0,121,3,0,0,32:22,0,0,0,2,33,0,56,1,40,6,5-15,0,6-55,177,5,3.9,1.7
401266694,2020,15,regular,away,150,Duke,ACC,52,Florida State,ACC,13-26,0,25,2-2,1,1,0,0,3,0,171,8,5,148,0,1,2,30:47,0,-1,1,1,51,3,245,1,35,4,5-15,0,9-70,393,4,5.7,4.8
401266694,2020,15,regular,home,52,Florida State,ACC,150,Duke,ACC,14-21,0,24,1-2,1,1,0,25,1,0,35,2,8,198,1,3,2,29:13,0,6,1,3,43,6,324,0,43,5,2-9,0,6-57,522,2,9.4,7.5
401266696,2020,15,regular,away,154,Wake Forest,ACC,97,Louisville,ACC,17-41,0,17,1-2,1,0,0,0,1,0,98,7,7,224,1,0,2,23:04,0,0,0,1,31,0,127,2,47,10,7-18,0,5-39,351,2,5.5,4.1
401266696,2020,15,regular,home,97,Louisville,ACC,154,Wake Forest,ACC,17-23,0,19,0-2,0,1,0,0,0,0,31,2,9,199,4,1,2,36:56,0,0,0,2,47,4,254,1,31,4,7-14,0,7-32,453,0,8.7,5.4
