game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,thirdDownEff,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
332642641,2013,4,regular,home,2641,Texas Tech,Big 12,326,Texas State,Sun Belt,33-63,23,0-2,0,2,0,0,3,0,0,0,15,434,1,2,27:17,0,39,5,33,0,118,11-21,8-65,552,3,6.9,3.6
332690059,2013,5,regular,away,259,Virginia Tech,ACC,59,Georgia Tech,ACC,19-25,14,0-0,0,1,0,-1,0,0,20,1,5,221,2,1,28:33,0,-1,1,27,1,55,2-10,10-69,276,0,8.8,2.0
332690059,2013,5,regular,home,59,Georgia Tech,ACC,259,Virginia Tech,ACC,7-24,16,0-3,1,0,0,0,2,0,29,2,4,144,0,0,31:05,0,-2,1,42,1,129,5-14,9-66,273,3,6.0,3.1
332690202,2013,5,regular,away,66,Iowa State,Big 12,202,Tulsa,Conference USA,26-42,25,2-2,0,3,0,9,1,0,46,2,8,255,1,2,35:37,0,39,2,44,3,179,8-18,3-25,434,1,6.1,4.1
332690202,2013,5,regular,home,202,Tulsa,Conference USA,66,Iowa State,Big 12,26-49,22,3-4,3,0,0,5,1,0,86,4,3,288,1,2,24:15,0,1,1,28,1,86,3-12,1-10,374,4,5.9,3.1
332700023,2013,5,regular,away,328,Utah State,Mountain West,23,San José State,Mountain West,30-43,32,0-0,0,1,0,16,0,0,54,2,16,267,3,3,36:36,0,8,2,50,1,253,6-16,9-95,520,0,6.2,5.1
332700023,2013,5,regular,home,23,San José State,Mountain West,328,Utah State,Mountain West,28-52,28,1-1,1,0,0,0,3,0,96,6,6,336,0,0,23:24,0,0,0,35,1,101,10-20,11-108,437,4,6.5,2.9
332700252,2013,5,regular,away,2393,Middle Tennessee,Conference USA,252,BYU,FBS Independents,16-34,13,1-3,0,4,0,10,1,0,107,4,4,105,1,1,33:34,0,-6,1,41,0,107,6-19,7-50,212,1,3.1,2.6
332700252,2013,5,regular,home,252,BYU,FBS Independents,2393,Middle Tennessee,Conference USA,14-19,22,1-1,4,0,0,0,1,0,144,4,5,177,1,0,38:16,1,107,6,55,4,309,7-13,9-80,486,5,9.3,5.6
332710008,2013,5,regular,away,245,Texas A&M,SEC,8,Arkansas,SEC,23-30,26,1-1,0,0,1,34,0,0,57,2,9,261,2,2,31:43,0,6,1,44,3,262,7-13,5-45,523,0,8.7,6.0
332710008,2013,5,regular,home,8,Arkansas,SEC,245,Texas A&M,SEC,17-36,23,0-1,0,0,0,0,2,0,125,5,9,282,0,3,28:17,0,0,0,30,1,201,5-12,1-5,483,2,7.8,6.7
332710009,2013,5,regular,away,30,USC,Pac-12,9,Arizona State,Pac-12,20-30,22,1-3,1,0,0,0,3,0,55,4,5,295,1,2,33:08,0,23,2,37,4,247,4-14,6-54,542,4,9.8,6.7
332710009,2013,5,regular,home,9,Arizona State,Pac-12,30,USC,Pac-12,24-35,25,0-0,0,1,1,53,1,0,90,4,14,351,3,3,26:05,0,0,1,35,4,261,5-11,4-50,612,1,10.0,7.5
332710036,2013,5,regular,away,2638,UTEP,Conference USA,36,Colorado State,Mountain West,26-43,28,3-4,1,1,0,0,0,0,126,7,4,365,0,5,35:10,0,0,0,47,1,132,10-19,6-39,497,1,8.5,2.8
332710036,2013,5,regular,home,36,Colorado State,Mountain West,2638,UTEP,Conference USA,18-29,25,1-1,1,1,0,0,0,0,117,5,7,341,0,4,23:37,0,17,1,34,4,250,7-11,6-62,591,1,11.8,7.4
332710058,2013,5,regular,away,2390,Miami,ACC,58,South Florida,American Athletic,19-32,22,1-1,2,2,0,2,2,0,66,3,7,375,1,3,31:20,0,31,4,39,3,165,7-14,7-48,540,4,11.7,4.2
332710058,2013,5,regular,home,58,South Florida,American Athletic,2390,Miami,ACC,13-27,13,1-3,2,2,1,11,1,0,52,3,3,189,2,1,28:06,0,29,1,33,1,99,2-14,5-30,288,3,7.0,3.0
332710061,2013,5,regular,away,99,LSU,SEC,61,Georgia,SEC,23-37,22,0-1,1,0,0,4,0,0,175,7,11,372,1,3,31:33,0,-4,1,36,2,77,10-15,5-40,449,1,10.1,2.1
332710061,2013,5,regular,home,61,Georgia,SEC,99,LSU,SEC,20-34,28,1-1,0,1,0,0,1,0,74,4,14,298,0,4,28:27,0,0,0,36,1,196,4-11,5-35,494,1,8.8,5.4
332710062,2013,5,regular,away,278,Fresno State,Mountain West,62,Hawai'i,Mountain West,33-47,31,2-2,3,0,1,66,2,0,98,4,6,324,2,2,33:40,0,16,2,45,3,206,5-14,5-61,530,5,6.9,4.6
332710062,2013,5,regular,home,62,Hawai'i,Mountain West,278,Fresno State,Mountain West,24-46,21,2-3,0,3,0,12,2,0,106,4,7,377,2,3,25:18,0,14,1,35,2,54,4-17,10-95,431,2,8.2,1.5
332710068,2013,5,regular,away,2572,Southern Miss,Conference USA,68,Boise State,Mountain West,21-34,15,0-0,1,1,0,0,2,0,87,5,1,163,0,1,28:42,0,-3,1,30,0,103,2-13,7-57,266,3,4.8,3.4
332710068,2013,5,regular,home,68,Boise State,Mountain West,2572,Southern Miss,Conference USA,23-27,30,0-0,1,1,0,0,0,0,40,2,12,316,2,3,31:18,0,116,4,52,5,229,11-16,5-50,545,1,11.7,4.4
332710070,2013,5,regular,away,218,Temple,American Athletic,70,Idaho,FBS Independents,23-47,22,1-1,0,0,0,0,0,0,71,3,6,249,0,1,25:53,0,27,5,29,2,161,4-16,6-46,410,0,5.3,5.6
332710070,2013,5,regular,home,70,Idaho,FBS Independents,218,Temple,American Athletic,26-44,18,0-0,0,0,0,0,0,0,97,5,14,310,0,1,33:01,0,14,4,32,1,160,7-18,5-45,470,0,7.0,5.0
332710087,2013,5,regular,away,201,Oklahoma,Big 12,87,Notre Dame,FBS Independents,23-31,25,0-1,0,0,1,41,0,0,75,3,9,238,3,2,35:44,0,1,1,42,1,212,5-14,4-31,450,0,7.7,5.0
