season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2006,UAB,Conference USA,211,224,10,5,18,10,9,14,14,9,12,0,2,100,160,12,12,0,0,0,0,0,0,2440,2704,304,317,177,200,12,12,12,19,94,67,702,590,13713,12254,0,1,73,201,35,39,432,409,14,15,1507,1761,48,63,149,148,3721,4311,21,26
2006,UCF,Conference USA,231,251,10,8,24,14,11,2,2,11,12,0,2,89,202,10,10,0,0,0,57,0,5,2930,3143,381,392,227,244,10,10,14,22,55,51,484,405,13053,13106,1,0,257,129,30,33,442,400,11,16,1673,1791,76,72,176,150,4478,4777,21,12
2006,UCLA,Pac-10,228,227,4,14,11,27,11,20,20,11,13,2,1,192,165,14,13,0,0,0,0,0,0,2749,3174,400,421,224,236,13,13,16,18,82,85,781,694,14643,14521,1,2,186,227,41,36,436,419,11,9,1687,1184,66,50,183,177,4291,4088,25,33
2006,UConn,Big East,199,186,10,10,19,15,10,8,8,10,12,1,1,125,183,12,12,0,0,0,20,0,2,1878,2278,313,279,161,158,12,12,14,15,64,75,506,604,13127,13308,1,1,264,191,37,49,486,479,18,20,2195,2155,63,53,180,160,3887,4297,22,20
2006,UL Monroe,Sun Belt,209,222,7,11,20,22,10,16,16,10,12,2,0,248,65,15,19,0,0,80,60,3,3,2368,2456,312,360,178,214,19,13,10,15,85,69,648,537,13930,13725,0,1,78,232,31,22,445,424,19,18,1863,1805,61,55,155,139,3913,3730,25,35
2006,UNLV,Mountain West,193,226,17,6,27,12,14,7,7,14,12,0,4,86,234,16,7,0,0,0,0,0,0,2693,2422,394,270,224,178,7,16,15,19,69,63,613,620,11366,12429,2,0,199,368,28,28,317,446,10,19,1034,1723,45,57,146,130,3530,4065,30,14
2006,USC,Pac-10,272,211,20,7,28,19,8,13,13,8,13,0,1,90,164,11,11,0,0,0,0,0,0,3539,2891,447,436,273,238,11,11,30,13,80,79,650,599,13958,13190,0,1,130,146,32,29,416,399,18,6,1664,1184,82,74,178,191,5094,3846,19,24
2006,UTEP,Conference USA,212,261,3,10,13,19,9,10,10,9,12,0,1,112,124,17,15,0,0,0,0,0,0,3940,3032,447,396,290,256,15,17,29,16,71,75,631,661,12349,14246,0,0,-21,70,11,36,288,439,8,24,691,1829,55,72,150,164,4445,4739,26,25
2006,Utah,Mountain West,231,217,8,8,18,11,9,7,7,9,13,3,3,192,176,12,16,0,0,0,119,0,6,2919,2837,389,349,224,216,16,12,22,19,75,56,660,431,13166,13725,0,0,301,43,47,34,417,426,14,11,1678,1340,77,64,175,166,4388,4090,21,23
2006,Utah State,Western Athletic,162,239,6,12,18,18,8,13,13,8,12,1,4,61,326,13,6,0,0,0,0,0,0,1700,2923,281,292,150,188,6,13,9,30,62,62,523,609,12467,12256,0,0,76,307,20,48,407,409,6,22,1333,2087,43,63,152,134,2955,4831,21,19
2006,Vanderbilt,SEC,212,219,11,5,20,11,14,15,15,14,12,1,0,91,224,14,14,0,0,65,129,2,10,2524,2461,337,293,187,176,14,14,16,18,47,68,395,588,13299,14404,0,0,102,97,26,30,385,453,17,15,1796,1868,49,57,149,140,3921,3856,28,29
2006,Virginia,ACC,168,164,3,10,9,14,5,8,8,5,12,0,5,151,245,11,10,0,0,0,0,0,0,2106,2245,345,291,203,171,10,11,8,10,53,63,381,517,12798,13937,0,0,272,225,46,51,364,430,12,12,1199,1432,51,55,167,170,3086,3474,16,18
2006,Virginia Tech,ACC,196,147,3,3,11,9,15,14,14,15,13,2,0,305,55,12,17,0,0,0,0,0,0,2581,1845,322,314,181,161,17,11,13,6,77,82,664,635,13915,14661,1,0,353,211,53,37,455,429,22,7,1474,1186,62,47,173,170,3837,2853,27,31
2006,Wake Forest,ACC,231,259,4,11,6,19,13,9,9,13,14,2,0,318,33,6,22,0,0,0,125,0,6,2383,3210,287,446,188,255,22,5,11,12,66,78,614,572,15353,15306,1,0,366,70,41,36,542,476,16,11,2099,1481,60,63,171,184,4298,4515,19,31
2006,Washington,Pac-10,189,228,9,11,19,19,8,5,5,8,12,0,2,140,236,16,10,0,0,0,0,0,0,2448,3055,373,388,179,238,9,16,19,15,57,74,476,568,12839,13460,1,1,242,328,41,29,402,419,12,16,1535,1675,58,57,173,169,3861,4557,24,15
2006,Washington State,Pac-10,243,211,9,11,20,20,12,14,14,12,12,3,0,177,45,12,16,0,0,0,0,0,0,3298,3128,430,383,260,214,16,12,23,15,66,68,583,618,13025,13403,0,1,93,257,26,36,392,400,12,14,1540,1369,62,65,166,168,4657,4286,24,30
2006,West Virginia,Big East,276,246,5,11,9,20,10,9,9,10,13,0,0,170,43,8,16,0,0,0,83,0,6,2139,3385,233,425,149,244,15,8,15,17,88,79,852,707,14189,14270,1,2,234,160,32,23,590,407,48,12,3939,1213,76,73,153,178,5998,4376,18,25
